date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:36	17120/17120	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:37%20GMT	http://wbpreview.com/previews/WB0DP4521/register.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/register.html	(from )
10:03:36	15644/15644	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:32%20GMT	http://wbpreview.com/previews/WB0DP4521/error.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/error.html	(from )
10:03:36	17155/17155	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:32%20GMT	http://wbpreview.com/previews/WB0DP4521/coming-soon.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/coming-soon.html	(from )
10:03:37	49212/49212	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:36%20GMT	http://wbpreview.com/previews/WB0DP4521/elements.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/elements.html	(from )
10:03:37	38224/38224	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:36%20GMT	http://wbpreview.com/previews/WB0DP4521/icons.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/icons.html	(from )
10:03:37	22259/22259	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:37%20GMT	http://wbpreview.com/previews/WB0DP4521/pricing_tables.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/pricing_tables.html	(from )
10:03:38	24382/24382	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:38%20GMT	http://wbpreview.com/previews/WB0DP4521/typography.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/typography.html	(from )
10:03:38	23448/23448	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:36%20GMT	http://wbpreview.com/previews/WB0DP4521/portfolio-2.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/portfolio-2.html	(from )
10:03:38	23477/23477	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:38%20GMT	http://wbpreview.com/previews/WB0DP4521/portfolio-3.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/portfolio-3.html	(from )
10:03:38	24744/24744	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:37%20GMT	http://wbpreview.com/previews/WB0DP4521/portfolio-4.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/portfolio-4.html	(from )
